headline_id,headline,category,word_count,has_number
1,Garcia makes triumphant return for Knights,Sports,6,False
2,International distribution secured for Eternal,Entertainment,5,False
3,Rangers dynasty continues with another Cup win,Sports,7,False
4,cloud computing integration challenges delay tablet rollout,Technology,7,False
5,smartphone sales reach 50 million in first quarter,Technology,8,True
6,City announces signing of star player Young,Sports,7,False
7,Local referendum on transportation scheduled for November,Politics,7,False
8,Edge computing transforms entertainment with cloud computing,Technology,7,False
9,Voters reject Reform proposal on infrastructure,Politics,6,False
10,Rangers dynasty continues with another Cup win,Sports,7,False
11,MVP ceremony ratings climb to 150 million,Entertainment,7,True
12,Cabinet reshuffle puts focus on welfare priorities,Politics,7,False
13,tennis fans celebrate as Dragons wins title,Sports,7,False
14,Westworld introduces new characters in sixth season,Entertainment,7,False
15,Canada hosts peace talks between rival factions,Politics,7,False
16,software battery life extended by 20 percent,Technology,7,True
17,Controversy surrounds Zendaya comments at offensive,Entertainment,6,False
18,Lost City remake updates classic with modern performances,Entertainment,8,False
19,Hall suspended for 75 games after incident,Sports,7,True
20,Hill retires after 200 years with Eagles,Sports,7,True
21,Underdog Phoenix stuns Panthers in upset victory,Sports,7,False
22,France takes gold in soccer at championships,Sports,7,False
23,Draft pick Hall impresses in debut for Titans,Sports,8,False
24,Switzerland hosts peace talks between rival factions,Politics,7,False
25,Wilson suspended for 20 games after incident,Sports,7,True
26,Westworld introduces new characters in fourth season,Entertainment,7,False
27,Wilson controversy overshadows Panthers success,Sports,5,False
28,Titans dynasty continues with another Series win,Sports,7,False
29,Developers create innovative logistics using blockchain,Technology,6,False
30,Germany and Netherlands sign historic trade agreement,Politics,7,False
31,AppWorks acquires DataSystems for 150 billion,Technology,6,True
32,Mad Men production moves to new Apple TV home,Entertainment,9,False
33,Virtual reality experience brings Echo to life,Entertainment,7,False
34,Rivalry renewed as Warriors faces Knights again,Sports,7,False
35,Jackson makes triumphant return for Storm,Sports,6,False
36,Soundtrack from Horizon tops music charts,Entertainment,6,False
37,Government unveils 30 billion environment plan,Politics,6,True
38,Mayor Thompson proposes housing changes,Politics,5,False
39,Rising Tide franchise reaches 15 billion globally,Entertainment,7,True
40,InfoStream discontinues unpopular platform line,Technology,5,False
41,Prime Minister Patel announces bid for Saxony governorship,Politics,8,False
42,Wilson breaks record with 200 rebounds performance,Sports,7,True
43,InnovateLab faces criticism over platform privacy concerns,Technology,7,False
44,AppWorks faces criticism over router privacy concerns,Technology,7,False
45,volleyball legend Young inducted into hall of fame,Sports,8,False
46,Chancellor Rodriguez inaugurated with promise to fix justice,Politics,8,False
