article_id,headline,article,category,headline_word_count,article_word_count,has_number
57,AppWorks launches revolutionary laptop with battery technology,"AppWorks unveiled its latest laptop featuring groundbreaking battery technology at a major event today. The device promises to deliver 100 percent better performance compared to previous generation models. Indeed industry analysts predict the product will significantly impact the automotive market. Pre-orders have already exceeded expectations, with initial stock selling out within 18 hours. The laptop will officially go on sale next month, with availability expanding to 100 countries.",Technology,7,68,True
529,Study reveals robotics adoption growing rapidly,"A new research study shows robotics adoption has increased by 10 percent over the past year. The findings indicate growing acceptance among business users, particularly in logistics applications. Nevertheless researchers attribute the growth to improved accessibility and declining costs. Major players in the finance sector are investing heavily to capitalize on the trend. Experts predict the robotics market will reach 10 billion in value within 18 years.",Technology,6,67,True
16,Ozark renewed for second season by Amazon Prime,"Streaming giant Amazon Prime announced it has renewed the hit series Ozark for a second season. The show has consistently topped viewership charts since its premiere, attracting millions of subscribers. Thus creators expressed excitement about continuing to explore the show's rich narrative universe. Production on the new season is set to begin next month, with a release planned for next year. Cast members shared their enthusiasm on social media, thanking fans for their unwavering support.",Entertainment,8,75,False
515,Phoenix secures playoff berth with crucial victory,"Phoenix clinched a playoff spot with a hard-fought win over Sharks in a must-win game. The 50 to 4 victory came after weeks of intense competition and nail-biting finishes. Furthermore coach Rodriguez commended the team's resilience and determination throughout the season. Key contributions from Taylor and strong defensive play proved decisive in the outcome. The team will now prepare for the playoffs, where they will face tougher challenges ahead.",Sports,7,69,True
299,Democratic party secures majority in Bavaria election,"The Democratic party won a decisive victory in Bavaria elections, securing a clear majority. Voter turnout reached 20 percent, one of the highest levels in recent history. Nevertheless party leaders credited their success to focusing on healthcare and defense issues. The defeated Alliance party conceded defeat and pledged to work constructively in opposition. The new government is expected to be sworn in within the next 12 weeks.",Politics,7,67,True
228,Underdog City stuns favorites United in upset win,"In one of the biggest upsets of the season, underdog City defeated heavily favored United. Few experts gave City a chance, but they defied expectations with a dominant performance. Specifically United struggled throughout the game, unable to find their usual rhythm. The victory sends shockwaves through the league and changes the playoff picture dramatically. City players celebrated the historic win as fans stormed the field in jubilation.",Sports,8,67,False
9,Jennifer Lawrence wins SAG for outstanding performance in New Dawn,"Jennifer Lawrence took home the prestigious SAG award for a powerful performance in New Dawn. The emotional acceptance speech drew a standing ovation from fellow nominees and industry peers. Furthermore this marks Jennifer Lawrence's sixth SAG win, cementing a reputation as one of the finest actors. The role required months of preparation and dedication, including extensive training and research. Fans and critics alike celebrated the well-deserved recognition for Jennifer Lawrence's exceptional work.",Entertainment,10,72,False
498,Lions secures playoff berth with crucial victory,"Lions clinched a playoff spot with a hard-fought win over Warriors in a must-win game. The 10 to 12 victory came after weeks of intense competition and nail-biting finishes. Additionally coach Thomas commended the team's resilience and determination throughout the season. Key contributions from Brown and strong defensive play proved decisive in the outcome. The team will now prepare for the playoffs, where they will face tougher challenges ahead.",Sports,7,69,True
630,ByteLogic launches revolutionary platform with 5G technology,"ByteLogic unveiled its latest platform featuring groundbreaking 5G technology at a major event today. The device promises to deliver 30 percent better performance compared to previous generation models. Therefore industry analysts predict the product will significantly impact the finance market. Pre-orders have already exceeded expectations, with initial stock selling out within 15 hours. The platform will officially go on sale next month, with availability expanding to 30 countries.",Technology,7,68,True
80,Davis announces retirement after illustrious career,"Legendary hockey player Davis announced retirement today, ending a career spanning 250 years. The athlete leaves behind an impressive legacy, including multiple Trophy championships and individual awards. Indeed fans and fellow players paid tribute to Davis's contributions to the sport. In an emotional press conference, Davis thanked teammates, coaches, and supporters. The sports world will remember Davis as one of the greatest to ever play the game.",Sports,6,67,True
901,Ed Sheeran announces world tour with 100 concert dates,"International superstar Ed Sheeran revealed plans for a massive world tour featuring 100 shows across 18 countries. The tour will kick off in November and continue through the end of the year. Notably tickets went on sale this morning and are selling rapidly, with several venues already sold out. Fans can expect to hear hits from recent albums as well as classic favorites. Special guest performers will be announced in the coming weeks, adding to the excitement.",Entertainment,9,77,True
581,Brown breaks basketball record with outstanding performance,"Brown made history today by breaking the long-standing basketball record for yards. The athlete's performance of 15 yards surpassed the previous mark set 5 years ago. Indeed teammates and coaches praised Brown's dedication and exceptional talent. The record-breaking moment came in the second period, sending the crowd into a frenzy. Brown expressed gratitude to supporters and vowed to continue pushing boundaries in the sport.",Sports,7,64,True
690,Lions defeats Tigers in thrilling Series final,"Lions emerged victorious over Tigers in a dramatic Series final that went down to the wire. Star player Miller delivered a clutch performance, contributing 250 points in the closing minutes. In fact Tigers fought back valiantly but ultimately fell short despite their best efforts. The victory marks Lions's second Series title and cements their status as a dominant force. Celebrations erupted among fans as the team lifted the trophy at the packed stadium.",Sports,7,73,True
304,Dragons defeats Eagles in thrilling Trophy final,"Dragons emerged victorious over Eagles in a dramatic Trophy final that went down to the wire. Star player Garcia delivered a clutch performance, contributing 30 points in the closing minutes. As a result Eagles fought back valiantly but ultimately fell short despite their best efforts. The victory marks Dragons's fifth Trophy title and cements their status as a dominant force. Celebrations erupted among fans as the team lifted the trophy at the packed stadium.",Sports,7,74,True
585,Westworld renewed for third season by Netflix,"Streaming giant Netflix announced it has renewed the hit series Westworld for a third season. The show has consistently topped viewership charts since its premiere, attracting millions of subscribers. Later creators expressed excitement about continuing to explore the show's rich narrative universe. Production on the new season is set to begin next month, with a release planned for next year. Cast members shared their enthusiasm on social media, thanking fans for their unwavering support.",Entertainment,7,74,False
598,AppWorks launches revolutionary service with battery technology,"AppWorks unveiled its latest service featuring groundbreaking battery technology at a major event today. The device promises to deliver 100 percent better performance compared to previous generation models. Earlier industry analysts predict the product will significantly impact the telecommunications market. Pre-orders have already exceeded expectations, with initial stock selling out within 18 hours. The service will officially go on sale next month, with availability expanding to 100 countries.",Technology,7,68,True
567,Study reveals quantum computing adoption growing rapidly,"A new research study shows quantum computing adoption has increased by 75 percent over the past year. The findings indicate growing acceptance among student users, particularly in logistics applications. Moreover researchers attribute the growth to improved accessibility and declining costs. Major players in the retail sector are investing heavily to capitalize on the trend. Experts predict the quantum computing market will reach 75 billion in value within 15 years.",Technology,7,69,True
555,The Wire renewed for fourth season by Netflix,"Streaming giant Netflix announced it has renewed the hit series The Wire for a fourth season. The show has consistently topped viewership charts since its premiere, attracting millions of subscribers. Previously creators expressed excitement about continuing to explore the show's rich narrative universe. Production on the new season is set to begin next month, with a release planned for next year. Cast members shared their enthusiasm on social media, thanking fans for their unwavering support.",Entertainment,8,75,False
